GEOGID,GEOGTYPE,GEOGDESC,LATTITUDE,LONGITUDE,T1_1AGE0M,T1_1AGE1M,T1_1AGE2M,T1_1AGE3M,T1_1AGE4M,T1_1AGE5M,T1_1AGE6M,T1_1AGE7M,T1_1AGE8M,T1_1AGE9M,T1_1AGE10M,T1_1AGE11M,T1_1AGE12M,T1_1AGE13M,T1_1AGE14M,T1_1AGE15M,T1_1AGE16M,T1_1AGE17M,T1_1AGE18M,T1_1AGE19M,T1_1AGE20_24M,T1_1AGE25_29M,T1_1AGE30_34M,T1_1AGE35_39M,T1_1AGE40_44M,T1_1AGE45_49M,T1_1AGE50_54M,T1_1AGE55_59M,T1_1AGE60_64M,T1_1AGE65_69M,T1_1AGE70_74M,T1_1AGE75_79M,T1_1AGE80_84M,T1_1AGEGE_85M,T1_1AGETM,T1_1AGE0F,T1_1AGE1F,T1_1AGE2F,T1_1AGE3F,T1_1AGE4F,T1_1AGE5F,T1_1AGE6F,T1_1AGE7F,T1_1AGE8F,T1_1AGE9F,T1_1AGE10F,T1_1AGE11F,T1_1AGE12F,T1_1AGE13F,T1_1AGE14F,T1_1AGE15F,T1_1AGE16F,T1_1AGE17F,T1_1AGE18F,T1_1AGE19F,T1_1AGE20_24F,T1_1AGE25_29F,T1_1AGE30_34F,T1_1AGE35_39F,T1_1AGE40_44F,T1_1AGE45_49F,T1_1AGE50_54F,T1_1AGE55_59F,T1_1AGE60_64F,T1_1AGE65_69F,T1_1AGE70_74F,T1_1AGE75_79F,T1_1AGE80_84F,T1_1AGEGE_85F,T1_1AGETF,T1_1AGE0T,T1_1AGE1T,T1_1AGE2T,T1_1AGE3T,T1_1AGE4T,T1_1AGE5T,T1_1AGE6T,T1_1AGE7T,T1_1AGE8T,T1_1AGE9T,T1_1AGE10T,T1_1AGE11T,T1_1AGE12T,T1_1AGE13T,T1_1AGE14T,T1_1AGE15T,T1_1AGE16T,T1_1AGE17T,T1_1AGE18T,T1_1AGE19T,T1_1AGE20_24T,T1_1AGE25_29T,T1_1AGE30_34T,T1_1AGE35_39T,T1_1AGE40_44T,T1_1AGE45_49T,T1_1AGE50_54T,T1_1AGE55_59T,T1_1AGE60_64T,T1_1AGE65_69T,T1_1AGE70_74T,T1_1AGE75_79T,T1_1AGE80_84T,T1_1AGEGE_85T,T1_1AGETT,T1_2SGLM,T1_2MARM,T1_2SEPM,T1_2DIVM,T1_2WIDM,T1_2TM,T1_2SGLF,T1_2MARF,T1_2SEPF,T1_2DIVF,T1_2WIDF,T1_2TF,T1_2SGLT,T1_2MART,T1_2SEPT,T1_2DIVT,T1_2WIDT,T1_2T,T2_1IEBP,T2_1UKBP,T2_1PLBP,T2_1LTBP,T2_1EUBP,T2_1RWBP,T2_1NSBP,T2_1TBP,T2_1IEN,T2_1UKN,T2_1PLN,T2_1LTN,T2_1EUN,T2_1RWN,T2_1NSN,T2_1TN,T2_2WI,T2_2WIT,T2_2OW,T2_2BBI,T2_2AAI,T2_2OTH,T2_2NS,T2_2T,T2_3SA,T2_3EC,T2_3EI,T2_3OI,T2_3T,T2_4CA,T2_4OR,T2_4NR,T2_4NS,T2_4T,T2_5T,T2_5PL,T2_5FR,T2_5LT,T2_5OTH,T2_6T,T2_6VW,T2_6W,T2_6NW,T2_6NAA,T2_6NS,T3_1YES,T3_1NO,T3_1NS,T3_1T,T3_2T,T3_2DW,T3_2DWO,T3_2DO,T3_2WO,T3_2LO,T3_2NO,T3_2NSO,T3_3DM,T3_3WM,T3_3LOM,T3_3NM,T3_3TM,T3_3DF,T3_3WF,T3_3LOF,T3_3NF,T3_3TF,T3_3DT,T3_3WT,T3_3LOT,T3_3NT,T3_3TT,T4_1_2PF,T4_1_3PF,T4_1_4PF,T4_1_5PF,T4_1_GRE_6PF,T4_1_TF,T4_1_2PP,T4_1_3PP,T4_1_4PP,T4_1_5PP,T4_1_GRE_6PP,T4_1_TP,T4_1_2PC,T4_1_3PC,T4_1_4PC,T4_1_5PC,T4_1_GRE_6PC,T4_1_TC,T4_2_NCU15,T4_2_1CU15,T4_2_2CU15,T4_2_3CU15,T4_2_4CU15,T4_2_GE5U15,T4_2_NCO15,T4_2_1CO15,T4_2_2CO15,T4_2_3CO15,T4_2_4CO15,T4_2_GE5O15,T4_2_NCUO15,T4_2_1CUO15,T4_2_2CUO15,T4_2_3CUO15,T4_2_4CUO15,T4_2_GE5UO15,T4_2_NCT,T4_2_1CT,T4_2_2CT,T4_2_3CT,T4_2_4CT,T4_2_GE5T,T4_3FLT15C,T4_3FGE15C,T4_3FOTH15C,T4_3FTC,T4_3FLT15LM,T4_3FGE15LM,T4_3FOTH15LM,T4_3FTLM,T4_3FLT15LF,T4_3FGE15LF,T4_3FOTH15LF,T4_3FTLF,T4_3CLT15C
C11,CTY,Meath,53.60554800000001,-6.6564169,1748,1780,1829,1825,1676,1671,1643,1618,1550,1597,1443,1400,1461,1368,1267,1262,1183,1160,1122,1020,4872,6105,7813,8346,7519,6460,5228,4467,3888,2954,1983,1320,814,518,91910,1695,1750,1789,1778,1632,1521,1528,1481,1455,1431,1404,1300,1271,1316,1239,1152,1094,1083,982,1006,5036,6936,8422,8445,7337,6181,5092,4412,3724,2960,1979,1595,1117,1082,92225,3443,3530,3618,3603,3308,3192,3171,3099,3005,3028,2847,2700,2732,2684,2506,2414,2277,2243,2104,2026,9908,13041,16235,16791,14856,12641,10320,8879,7612,5914,3962,2915,1931,1600,184135,50404,36820,2024,1363,1299,91910,46474,36781,2629,1810,4531,92225,96878,73601,4653,3173,5830,184135,154890,10055,3652,3180,4050,6998,0,182825,160995,3638,3867,3362,4011,4924,2028,182825,156900,967,15789,3252,2050,1412,2455,182825,168486,5750,3795,1367,179398,160527,13244,7990,2374,184135,19832,3867,2021,2964,10980,19832,9366,5876,3209,706,675,68259,102334,2951,173544,68259,23159,1549,1628,3734,21380,16310,499,350,161,120,67,698,478,169,137,67,851,828,330,257,134,1549,16994,11680,12011,6232,2488,49405,33988,35040,48044,31160,15706,163938,4064,13702,24797,18968,10806,72337,0,7239,7749,3537,899,172,0,6483,3672,1206,263,56,0,0,1837,1992,976,394,12930,13722,13258,6735,2138,622,16521,8365,4380,29266,2809,2596,722,6127,266,719,97,1082,33072
C12,CTY,Offaly,53.2356871,-7.7122229,629,627,660,657,629,599,611,615,598,596,584,615,583,617,580,566,559,558,485,432,2263,2570,2872,2982,2790,2619,2443,2082,1829,1447,1060,814,506,353,38430,612,618,648,578,581,570,555,586,600,600,541,556,571,594,545,527,521,463,454,389,2206,2804,3020,2917,2761,2623,2251,1999,1838,1423,1105,913,677,611,38257,1241,1245,1308,1235,1210,1169,1166,1201,1198,1196,1125,1171,1154,1211,1125,1093,1080,1021,939,821,4469,5374,5892,5899,5551,5242,4694,4081,3667,2870,2165,1727,1183,964,76687,21253,14941,909,587,740,38430,18968,14813,1149,753,2574,38257,40221,29754,2058,1340,3314,76687,66626,3748,1738,980,1267,1884,0,76243,68523,1566,1865,1036,1239,1335,679,76243,67046,1025,5795,468,757,410,742,76243,70813,2623,1118,453,75007,69400,4685,1957,645,76687,6664,1823,687,865,3289,6664,2622,2154,1343,293,252,28178,43663,1052,72893,28178,9286,484,414,1397,9347,6966,284,76,51,61,26,214,106,83,50,31,270,182,134,111,57,484,7494,4790,4438,2383,1205,20310,14988,14370,17752,11915,7713,66738,2013,5713,9211,7274,5359,29570,0,2804,2689,1251,381,109,0,3076,1595,522,130,28,0,0,742,820,454,228,5481,5880,5026,2593,965,365,5767,3734,1876,11377,1349,1260,331,2940,118,357,37,512,11806
C13,CTY,Westmeath,53.5345308,-7.4653217,720,677,701,711,694,691,672,633,614,660,630,609,643,633,601,625,602,600,565,527,2671,3114,3431,3268,3166,2926,2621,2328,1975,1549,1159,870,511,386,42783,711,696,656,683,633,618,612,653,598,638,619,648,573,595,618,621,606,558,517,511,2702,3347,3501,3372,3149,2937,2584,2189,1915,1549,1205,995,799,773,43381,1431,1373,1357,1394,1327,1309,1284,1286,1212,1298,1249,1257,1216,1228,1219,1246,1208,1158,1082,1038,5373,6461,6932,6640,6315,5863,5205,4517,3890,3098,2364,1865,1310,1159,86164,24094,16178,1020,747,744,42783,22154,16144,1344,912,2827,43381,46248,32322,2364,1659,3571,86164,71589,4875,2149,958,1775,3908,0,85254,74253,1929,2345,1016,1809,3031,871,85254,72210,853,7396,1218,1546,731,1300,85254,77837,3298,1770,926,83831,75432,6470,3143,1119,86164,9782,2290,918,889,5685,9782,4268,3235,1582,341,356,32771,47700,1532,82003,32771,10213,597,547,1685,11128,8304,297,101,62,58,50,271,141,74,74,37,326,242,136,132,87,597,8599,5237,4684,2468,1286,22274,17198,15711,18736,12340,8170,72155,2247,6283,9779,7536,5655,31500,0,3010,2883,1288,416,106,0,3428,1607,526,148,23,0,0,829,933,486,239,6352,6438,5319,2747,1050,368,6162,3865,2002,12029,1434,1499,430,3363,107,368,55,530,12453
C14,CTY,Wexford,52.336916,-6.4633381,1151,1120,1241,1195,1170,1124,1159,1173,1112,1160,1053,1087,1052,1054,1072,980,960,953,821,786,3811,4565,5380,5516,5420,4997,4503,3984,3690,3084,2382,1651,917,586,71909,1064,1128,1222,1128,1120,1074,1034,1088,1082,1019,1003,1089,1096,1025,969,970,980,935,851,790,3988,5064,5792,5573,5395,5105,4502,3922,3656,3088,2403,1819,1273,1164,73411,2215,2248,2463,2323,2290,2198,2193,2261,2194,2179,2056,2176,2148,2079,2041,1950,1940,1888,1672,1576,7799,9629,11172,11089,10815,10102,9005,7906,7346,6172,4785,3470,2190,1750,145320,39239,27846,1935,1387,1502,71909,36535,27877,2370,1745,4884,73411,75774,55723,4305,3132,6386,145320,125144,9264,3765,847,2488,2631,0,144139,129238,4604,4010,865,2379,1746,1297,144139,126747,1501,12045,481,916,757,1692,144139,133717,5512,1718,984,141931,127842,9659,6204,1615,145320,11257,3905,1162,732,5458,11257,4768,3547,2046,451,445,50936,85218,2240,138394,50936,17307,924,777,2583,16000,12953,392,146,98,64,68,376,238,151,94,65,548,384,249,158,133,924,15698,9132,8335,4139,1885,39189,31396,27396,33340,20695,12008,124835,4199,11150,17384,12672,8352,53757,0,5330,5314,2196,635,132,0,5983,2825,813,215,53,0,0,1500,1589,736,369,11499,11313,9639,4598,1586,554,10352,6717,3321,20390,3049,2498,780,6327,206,674,93,973,20758
C15,CTY,Wicklow,52.9808207,-6.044588999999999,1133,1164,1231,1146,1128,1052,1135,977,1026,999,1025,1025,989,952,991,918,908,879,898,802,4021,4206,5351,5496,5142,4912,4181,3596,3391,2673,1793,1251,710,441,67542,1207,1137,1125,1147,1056,1008,1026,1026,999,931,918,953,912,853,901,882,816,869,833,777,3911,4777,5586,5697,5354,5058,4231,3727,3248,2699,1964,1382,1021,1067,69098,2340,2301,2356,2293,2184,2060,2161,2003,2025,1930,1943,1978,1901,1805,1892,1800,1724,1748,1731,1579,7932,8983,10937,11193,10496,9970,8412,7323,6639,5372,3757,2633,1731,1508,136640,37052,26253,1808,1267,1162,67542,34830,26343,2183,1688,4054,69098,71882,52596,3991,2955,5216,136640,114985,8535,2597,811,2870,5080,0,134878,120409,3749,2754,848,2716,3310,1092,134878,117991,721,11128,489,2049,1044,1456,134878,123742,5088,2451,1272,132553,108738,15477,10770,1655,136640,12459,2744,1647,757,7311,12459,6529,3559,1649,298,424,48502,79141,2000,129643,48502,15900,968,1011,2624,15475,12158,366,182,83,87,51,403,310,106,98,51,565,492,189,185,102,968,14085,8752,8523,4022,1582,36964,28170,26256,34092,20110,10006,118634,3790,10662,17811,12272,6911,51446,0,5125,5259,2175,539,118,0,5507,3091,971,195,35,0,0,1318,1435,642,259,10295,10632,9668,4581,1376,412,10442,6640,2847,19929,2582,2509,727,5818,192,650,80,922,20730
C16,CTY,Clare,52.86245280000001,-9.047164499999999,837,923,924,948,943,909,907,846,840,855,795,898,863,855,818,815,731,795,758,636,3235,3603,4294,4423,4492,4080,3793,3374,3241,2540,1771,1264,781,511,58298,841,853,867,895,874,895,871,854,876,871,879,893,819,803,829,745,764,735,711,618,3225,3709,4405,4701,4428,4113,3651,3346,3175,2401,1753,1359,1069,1070,58898,1678,1776,1791,1843,1817,1804,1778,1700,1716,1726,1674,1791,1682,1658,1647,1560,1495,1530,1469,1254,6460,7312,8699,9124,8920,8193,7444,6720,6416,4941,3524,2623,1850,1581,117196,31716,23104,1294,972,1212,58298,28849,23137,1577,1280,4055,58898,60565,46241,2871,2252,5267,117196,96727,8409,2508,318,2384,4802,0,115148,101758,3622,2658,340,2274,3182,1314,115148,99452,855,9574,1332,1267,1025,1643,115148,106510,4150,1811,1010,113481,101984,7033,6384,1795,117196,10711,2644,1539,262,6266,10711,5360,3218,1473,287,373,53853,55789,2309,111951,53853,15402,977,1075,3099,19612,13255,433,182,95,86,50,413,282,151,87,44,564,464,246,173,94,977,11750,6883,6552,3675,1547,30407,23500,20649,26208,18375,9835,98567,2944,8162,13579,11186,6799,42670,0,3828,4006,1956,515,140,0,4720,2318,729,151,36,0,0,1032,1304,617,249,8806,8548,7356,3989,1283,425,8564,5429,2691,16684,1724,1972,445,4141,157,553,66,776,17601
C17,CTY,Cork City,51.8968917,-8.4863157,707,633,595,561,566,571,537,577,568,583,617,605,619,633,645,650,618,657,885,1045,6209,6005,5179,3915,3585,3605,3574,3207,2980,2493,2130,1553,966,539,58812,664,571,635,570,540,528,534,499,554,527,559,492,608,583,616,567,605,601,881,1145,6144,6073,4801,3650,3299,3866,3721,3254,3062,2760,2573,2140,1513,1283,60418,1371,1204,1230,1131,1106,1099,1071,1076,1122,1110,1176,1097,1227,1216,1261,1217,1223,1258,1766,2190,12353,12078,9980,7565,6884,7471,7295,6461,6042,5253,4703,3693,2479,1822,119230,35682,19043,1459,1065,1563,58812,33275,18901,1916,1411,4915,60418,68957,37944,3375,2476,6478,119230,98352,4974,3531,499,4307,5558,0,117221,100901,1894,3648,518,4235,4316,1709,117221,98460,789,10943,1104,2623,1170,2132,117221,104032,7945,1689,2194,115860,98411,7938,10360,2521,119230,13917,3564,1884,425,8044,13917,6905,4624,1623,287,478,46566,65774,3085,115425,46566,10327,762,1210,3081,18119,12640,427,154,83,69,41,347,220,83,72,40,415,374,166,141,81,762,13571,6504,4899,2349,912,28235,27142,19512,19596,11745,5841,83836,4033,8279,10444,7272,4102,34130,0,3465,2575,948,277,61,0,5297,2473,770,153,29,0,0,980,1052,411,206,9538,8762,6028,2770,841,296,4707,5326,1900,11933,2486,2738,694,5918,133,658,55,846,8858
C18,CTY,Cork,51.994206,-8.728544599999999,3478,3651,3519,3496,3313,3119,3156,3059,3159,2928,2907,2837,2918,2789,2700,2639,2642,2477,2515,2111,10519,12813,16470,16724,15443,14274,12158,10875,9602,7364,5236,3877,2345,1545,198658,3271,3374,3448,3422,3174,3078,2980,2907,2826,2846,2747,2744,2777,2718,2665,2520,2519,2450,2316,2134,10653,14421,17444,16751,15234,13778,11943,10638,9303,7381,5435,4534,3411,3302,201144,6749,7025,6967,6918,6487,6197,6136,5966,5985,5774,5654,5581,5695,5507,5365,5159,5161,4927,4831,4245,21172,27234,33914,33475,30677,28052,24101,21513,18905,14745,10671,8411,5756,4847,399802,108604,79522,3797,3275,3460,198658,100030,79672,4723,4235,12484,201144,208634,159194,8520,7510,15944,399802,337539,23285,11596,2274,8136,12752,0,395582,348500,11998,12272,2368,7796,8452,4196,395582,342104,1076,36704,4337,3712,2913,4736,395582,364560,17968,2824,3520,388872,346446,27295,21333,4728,399802,37661,12139,4925,2170,18427,37661,17720,11311,5909,1301,1420,177536,195232,6293,379061,177536,52543,3669,4016,10160,60977,44750,1421,795,341,277,186,1599,1109,454,301,206,2070,1904,795,578,392,3669,38765,24061,23729,13177,5376,105108,77530,72183,94916,65885,33982,344496,9597,28415,49017,40048,23402,150479,0,14198,14505,6989,1811,388,0,15106,8384,2933,651,144,0,0,3635,4297,2037,862,29168,29304,26524,14219,4499,1394,31462,19084,9195,59741,5944,6399,1444,13787,485,1735,192,2412,63709
C19,CTY,Kerry,52.15446069999999,-9.5668632,950,1054,1009,1033,997,942,972,991,1017,987,937,993,1001,1005,989,924,936,916,809,851,3778,4642,5456,5523,5284,5039,4912,4527,4346,3552,2532,1835,1151,739,72629,973,979,1000,1047,983,937,973,920,901,974,878,963,940,999,1008,946,978,888,779,704,3802,4989,5379,5201,5126,5077,4786,4448,4116,3359,2536,2121,1608,1555,72873,1923,2033,2009,2080,1980,1879,1945,1911,1918,1961,1815,1956,1941,2004,1997,1870,1914,1804,1588,1555,7580,9631,10835,10724,10410,10116,9698,8975,8462,6911,5068,3956,2759,2294,145502,39315,28973,1514,1278,1549,72629,34899,28941,1863,1588,5582,72873,74214,57914,3377,2866,7131,145502,118615,11031,3870,849,2819,4991,0,142175,124647,5191,4048,893,2725,3121,1550,142175,122423,860,13290,884,1635,1116,1967,142175,132451,5044,1567,1208,140270,127637,9075,6884,1906,145502,13109,3942,1447,807,6913,13109,5798,4304,2045,462,500,64105,72845,2587,139537,64105,17015,1622,3155,4371,23451,13872,619,436,108,93,46,683,618,159,109,53,939,1054,267,202,99,1622,15112,8523,7587,4164,1862,37248,30224,25569,30348,20820,11768,118729,3959,10198,15729,12678,8112,50676,0,4701,4478,2036,562,127,0,6106,2973,1038,258,62,0,0,1256,1459,753,286,11153,10807,8707,4533,1573,475,9400,7078,3174,19652,2292,2639,508,5439,212,720,72,1004,18900
C20,CTY,Limerick City,52.6680204,-8.630497499999999,430,381,386,357,368,316,311,296,283,342,285,366,344,349,354,331,313,309,405,512,2354,2521,2492,2071,1817,1741,1724,1520,1398,1062,956,652,379,222,27947,378,341,359,383,336,321,296,326,332,331,300,334,352,323,351,334,303,340,498,663,2695,2544,2333,1879,1738,1823,1686,1555,1455,1246,1080,869,613,442,29159,808,722,745,740,704,637,607,622,615,673,585,700,696,672,705,665,616,649,903,1175,5049,5065,4825,3950,3555,3564,3410,3075,2853,2308,2036,1521,992,664,57106,16646,9150,836,613,702,27947,16258,8967,1098,722,2114,29159,32904,18117,1934,1335,2816,57106,47943,2137,2393,284,1386,2378,0,56521,48859,685,2572,301,1414,1875,815,56521,47695,401,5131,687,1063,484,1060,56521,51108,3085,996,528,55717,49214,3788,3053,1051,57106,7063,2450,632,239,3742,7063,2883,2558,1200,221,201,21101,32430,1300,54831,21101,5756,364,458,1305,7739,5268,211,88,28,24,17,157,129,30,31,17,207,217,58,55,34,364,6602,3589,2543,1064,474,14272,13204,10767,10172,5320,3081,42544,2219,4656,5457,3307,2215,17854,0,2094,1571,539,140,36,0,2647,1083,256,57,10,0,0,585,525,189,157,4383,4741,3239,1320,386,203,2669,2386,980,6035,1600,1327,444,3371,111,340,32,483,4904
C21,CTY,Limerick,52.6611857,-8.625734899999999,1092,1109,1146,1057,1011,1039,1008,967,974,867,904,869,921,971,994,852,901,859,1020,1032,4717,4733,5480,5295,4844,4374,4156,3903,3464,2708,1931,1382,781,507,67868,1065,1023,1007,1017,948,920,874,901,946,876,884,878,888,848,829,836,817,808,858,942,4353,4989,5472,5115,4698,4400,4077,3718,3365,2677,1940,1490,1159,1217,66835,2157,2132,2153,2074,1959,1959,1882,1868,1920,1743,1788,1747,1809,1819,1823,1688,1718,1667,1878,1974,9070,9722,10952,10410,9542,8774,8233,7621,6829,5385,3871,2872,1940,1724,134703,38298,26145,1357,888,1180,67868,33417,26167,1639,1096,4516,66835,71715,52312,2996,1984,5696,134703,116264,7322,3276,592,1811,4157,0,133422,120364,2864,3518,617,1711,2870,1478,133422,118039,1113,9204,1111,1764,779,1412,133422,123031,5374,1902,972,131279,121307,7022,5006,1368,134703,11480,3519,1636,537,5788,11480,5278,3611,1752,410,429,60319,65878,2064,128261,60319,16760,922,961,3051,21663,16466,496,150,124,97,70,441,208,105,113,55,481,358,229,210,125,922,12899,8024,7740,3980,1743,34386,25798,24072,30960,19900,11050,111780,3050,9373,16030,12100,7622,48175,0,4444,4592,2065,580,126,0,5281,2777,927,193,53,0,0,1170,1378,665,286,9849,9725,8539,4370,1438,465,9822,6569,2979,19370,1818,2116,459,4393,167,546,61,774,19752
C22,CTY,Tipperary North,53.1675822,-7.628489600000001,554,552,530,563,548,525,526,528,514,494,563,507,496,502,497,511,462,439,429,406,1898,2273,2604,2735,2563,2517,2305,2088,1892,1463,1073,896,553,334,35340,505,528,578,550,493,491,530,483,481,502,516,510,474,476,485,465,427,451,407,382,1829,2286,2542,2655,2577,2353,2105,2013,1785,1521,1074,1037,783,688,34982,1059,1080,1108,1113,1041,1016,1056,1011,995,996,1079,1017,970,978,982,976,889,890,836,788,3727,4559,5146,5390,5140,4870,4410,4101,3677,2984,2147,1933,1336,1022,70322,19458,13717,866,573,726,35340,17000,13598,1021,643,2720,34982,36458,27315,1887,1216,3446,70322,61052,4035,1642,443,1232,1480,0,69884,62862,1919,1753,467,1202,986,695,69884,61940,604,5507,134,510,343,846,69884,65159,2215,1035,419,68828,63352,3932,2296,742,70322,5458,1691,613,401,2753,5458,2126,1746,1143,255,188,31598,34406,1071,67075,31598,9341,570,541,1760,11087,8031,268,113,57,57,30,257,170,68,52,23,313,283,125,109,53,570,7145,4378,3822,2162,1027,18534,14290,13134,15288,10810,6600,60122,1895,5193,7943,6595,4584,26210,0,2451,2294,1124,301,84,0,3007,1391,479,120,27,0,0,653,749,390,214,5250,5458,4338,2352,811,325,5087,3388,1653,10128,1053,1277,317,2647,114,359,36,509,10295
C23,CTY,Tipperary South,52.4409548,-7.8760747,655,736,719,641,638,619,681,607,572,609,672,643,628,648,629,595,612,646,588,480,2454,2871,3345,3268,3171,3100,2881,2654,2381,1867,1438,1054,707,435,44244,600,645,633,639,640,636,640,604,564,606,572,581,592,644,592,600,595,571,482,443,2503,3171,3300,3218,3119,3060,2815,2503,2347,1809,1468,1189,914,893,44188,1255,1381,1352,1280,1278,1255,1321,1211,1136,1215,1244,1224,1220,1292,1221,1195,1207,1217,1070,923,4957,6042,6645,6486,6290,6160,5696,5157,4728,3676,2906,2243,1621,1328,88432,24642,16662,1138,848,954,44244,21603,16732,1395,993,3465,44188,46245,33394,2533,1841,4419,88432,75484,5630,2298,646,1563,2104,0,87725,77819,2794,2440,691,1522,1557,902,87725,76958,546,7545,406,731,495,1044,87725,81720,3073,1042,644,86479,80031,4606,2901,894,88432,7418,2408,718,554,3738,7418,2887,2495,1452,293,291,35740,47337,1367,84444,35740,10819,544,569,1804,12156,9511,337,69,73,58,40,240,130,82,48,44,304,199,155,106,84,544,9441,5638,4811,2549,1078,23517,18882,16914,19244,12745,6946,74731,2730,6889,10059,7769,4852,32299,0,3168,2937,1282,340,92,0,3949,1817,629,112,36,0,0,871,953,411,209,6711,7117,5625,2864,863,337,5917,4311,1976,12204,1756,1748,431,3935,146,484,37,667,11839
C24,CTY,Waterford City,52.25227,-7.127205999999999,338,353,352,336,298,294,312,299,333,325,298,292,275,302,329,284,264,283,267,336,1702,1967,2012,1691,1601,1513,1260,1260,1095,934,715,539,289,173,22921,354,335,349,317,313,310,336,282,279,310,252,263,302,240,278,296,276,291,304,340,1739,2065,2073,1682,1549,1539,1425,1195,1106,984,835,670,470,452,23811,692,688,701,653,611,604,648,581,612,635,550,555,577,542,607,580,540,574,571,676,3441,4032,4085,3373,3150,3052,2685,2455,2201,1918,1550,1209,759,625,46732,13333,7942,632,478,536,22921,12689,7939,887,594,1702,23811,26022,15881,1519,1072,2238,46732,38515,2263,1225,304,1240,2652,0,46199,39423,899,1318,321,1228,2249,761,46199,38168,259,4171,1107,1063,491,940,46199,42138,2103,845,422,45508,38905,4269,2610,948,46732,6057,1275,509,265,4008,6057,2740,1968,940,197,212,16847,26776,1028,44651,16847,4793,263,317,845,5829,4648,152,46,22,34,23,125,60,26,30,22,138,106,48,64,45,263,5322,2939,2431,920,396,12008,10644,8817,9724,4600,2495,36280,1682,3738,5146,2841,1740,15147,0,1863,1553,530,150,19,0,1959,883,195,38,6,0,0,510,398,181,83,3640,3822,2946,1123,369,108,2737,1905,843,5485,1303,942,313,2558,75,234,16,325,5121
C25,CTY,Waterford,52.1964435, -7.717133599999999,539,532,571,547,572,546,498,541,492,495,501,527,488,527,474,457,469,447,406,370,1703,1820,2423,2491,2582,2451,2171,1950,1803,1460,1106,798,477,309,33543,495,506,542,517,478,502,475,486,529,490,500,493,503,472,486,428,432,401,393,332,1726,1943,2516,2604,2501,2439,2068,1972,1723,1445,1001,890,619,613,33520,1034,1038,1113,1064,1050,1048,973,1027,1021,985,1001,1020,991,999,960,885,901,848,799,702,3429,3763,4939,5095,5083,4890,4239,3922,3526,2905,2107,1688,1096,922,67063,18189,13340,792,563,659,33543,16294,13367,905,688,2266,33520,34483,26707,1697,1251,2925,67063,58118,4879,881,159,867,1561,0,66465,60466,2706,933,171,800,927,462,66465,59985,152,4759,364,308,289,608,66465,62190,2112,723,416,65441,59872,3490,3072,629,67063,3831,907,679,140,2105,3831,1971,1061,526,109,164,29899,33134,845,63878,29899,8965,699,891,1885,10267,6991,201,172,51,35,34,292,249,72,53,33,407,421,123,88,67,699,6906,4027,3920,2124,939,17916,13812,12081,15680,10620,5965,58158,1680,4830,8142,6470,4128,25250,0,2134,2359,1156,294,66,0,2770,1375,401,94,34,0,0,687,771,378,171,5226,4904,4421,2328,766,271,4838,3261,1667,9766,1072,1091,305,2468,99,322,35,456,10008
C26,CTY,Galway City,53.2705588,-9.0566677,595,456,496,503,446,403,417,440,411,393,386,361,331,349,379,353,335,363,603,785,3910,4457,4372,2943,2236,1953,1742,1610,1407,1135,795,570,362,217,36514,550,474,487,448,414,392,369,376,446,399,388,338,367,356,323,356,351,356,611,840,4463,4845,4226,3108,2304,2119,1984,1805,1540,1272,923,728,556,501,39015,1145,930,983,951,860,795,786,816,857,792,774,699,698,705,702,709,686,719,1214,1625,8373,9302,8598,6051,4540,4072,3726,3415,2947,2407,1718,1298,918,718,75529,23367,11254,653,663,577,36514,23982,11220,1015,960,1838,39015,47349,22474,1668,1623,2415,75529,54724,4558,3891,714,2995,6114,0,72996,57869,1486,4096,740,2971,4867,967,72996,53973,1666,10350,2666,2019,984,1338,72996,61546,6278,2166,1868,71858,57926,7823,7764,2016,75529,13798,4070,1278,648,7802,13798,6692,4593,1716,304,493,31866,38810,1795,72471,31866,6553,741,1864,2939,13026,6466,277,208,45,40,17,310,300,69,43,19,431,508,114,83,36,741,7415,3716,2831,1355,680,15997,14830,11148,11324,6775,4420,48497,1930,4612,5985,4169,3113,19809,0,2492,1809,733,239,94,0,2258,1100,356,63,16,0,0,495,485,230,142,5485,4750,3404,1574,532,252,3865,2343,998,7206,1416,1182,328,2926,86,268,26,380,7376
